source,target,relationship_type,weight,operational_dependency_level,recurring_revenue_relevance,monetization_potential,contract_value,renewal_date,prime_pathwy_priority
ENT-00014,COMP-SBA,compliance_dependency,0.723,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00015,COMP-CSLB,compliance_dependency,0.724,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00016,COMP-EEOC,compliance_dependency,0.883,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00017,COMP-CSLB,compliance_dependency,0.783,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00018,COMP-CSLB,compliance_dependency,0.679,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00019,COMP-SAM,compliance_dependency,0.75,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00020,COMP-EPA,compliance_dependency,0.801,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00021,COMP-ISO9001,compliance_dependency,0.694,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00022,COMP-EEOC,compliance_dependency,0.668,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00023,COMP-EEOC,compliance_dependency,0.854,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00024,COMP-ISO9001,compliance_dependency,0.77,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00025,COMP-SBA,compliance_dependency,0.863,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00026,COMP-BAAQMD,compliance_dependency,0.589,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00027,COMP-OSHA,compliance_dependency,0.64,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00028,COMP-EEOC,compliance_dependency,0.846,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00029,COMP-EPA,compliance_dependency,0.658,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00030,COMP-DOL,compliance_dependency,0.606,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00031,COMP-EEOC,compliance_dependency,0.849,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00032,COMP-SBA,compliance_dependency,0.561,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00033,COMP-OSHA,compliance_dependency,0.578,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00034,COMP-OSHA,compliance_dependency,0.731,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00035,COMP-SBA,compliance_dependency,0.691,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00036,COMP-OSHA,compliance_dependency,0.697,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00037,COMP-BAAQMD,compliance_dependency,0.836,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00038,COMP-ISO14001,compliance_dependency,0.821,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00039,COMP-EPA,compliance_dependency,0.871,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00040,COMP-EEOC,compliance_dependency,0.727,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00041,COMP-SBA,compliance_dependency,0.73,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00042,COMP-ISO14001,compliance_dependency,0.875,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00043,COMP-EPA,compliance_dependency,0.874,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00044,COMP-ISO14001,compliance_dependency,0.88,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00045,COMP-ISO9001,compliance_dependency,0.567,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00046,COMP-OSHA,compliance_dependency,0.834,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00047,COMP-DOL,compliance_dependency,0.614,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00048,COMP-EPA,compliance_dependency,0.67,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00049,COMP-CSLB,compliance_dependency,0.813,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00050,COMP-OSHA,compliance_dependency,0.685,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00051,COMP-ISO9001,compliance_dependency,0.627,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00052,COMP-BAAQMD,compliance_dependency,0.555,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00053,COMP-EPA,compliance_dependency,0.712,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00054,COMP-SAM,compliance_dependency,0.725,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00055,COMP-BAAQMD,compliance_dependency,0.577,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00056,COMP-DOL,compliance_dependency,0.847,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00057,COMP-ISO14001,compliance_dependency,0.642,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00058,COMP-DOL,compliance_dependency,0.775,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00059,COMP-OSHA,compliance_dependency,0.738,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00060,COMP-OSHA,compliance_dependency,0.617,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00061,COMP-DOL,compliance_dependency,0.567,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00062,COMP-SAM,compliance_dependency,0.826,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00063,COMP-SBA,compliance_dependency,0.83,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00064,COMP-OSHA,compliance_dependency,0.567,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00065,COMP-CSLB,compliance_dependency,0.885,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00066,COMP-BAAQMD,compliance_dependency,0.874,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00067,COMP-ISO14001,compliance_dependency,0.522,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00068,COMP-SBA,compliance_dependency,0.864,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00069,COMP-EPA,compliance_dependency,0.856,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00070,COMP-SAM,compliance_dependency,0.554,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00071,COMP-OSHA,compliance_dependency,0.883,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00072,COMP-ISO14001,compliance_dependency,0.864,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00073,COMP-BAAQMD,compliance_dependency,0.525,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00074,COMP-OSHA,compliance_dependency,0.568,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00075,COMP-OSHA,compliance_dependency,0.788,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00076,COMP-BAAQMD,compliance_dependency,0.565,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00077,COMP-CSLB,compliance_dependency,0.702,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00078,COMP-SAM,compliance_dependency,0.872,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00079,COMP-SAM,compliance_dependency,0.818,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00080,COMP-ISO14001,compliance_dependency,0.85,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00081,COMP-SBA,compliance_dependency,0.715,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00082,COMP-ISO9001,compliance_dependency,0.5,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00083,COMP-EPA,compliance_dependency,0.682,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00084,COMP-EEOC,compliance_dependency,0.655,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00085,COMP-DOL,compliance_dependency,0.757,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00086,COMP-OSHA,compliance_dependency,0.775,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00087,COMP-DOL,compliance_dependency,0.54,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00088,COMP-ISO14001,compliance_dependency,0.652,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00089,COMP-CSLB,compliance_dependency,0.889,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00090,COMP-DOL,compliance_dependency,0.829,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00091,COMP-ISO14001,compliance_dependency,0.655,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00092,COMP-BAAQMD,compliance_dependency,0.723,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00093,COMP-EEOC,compliance_dependency,0.531,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00094,COMP-CSLB,compliance_dependency,0.789,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00095,COMP-BAAQMD,compliance_dependency,0.597,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00096,COMP-SAM,compliance_dependency,0.743,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00097,COMP-DOL,compliance_dependency,0.554,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00098,COMP-SBA,compliance_dependency,0.593,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00099,COMP-BAAQMD,compliance_dependency,0.668,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00100,COMP-DOL,compliance_dependency,0.594,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00101,COMP-SBA,compliance_dependency,0.573,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00102,COMP-EEOC,compliance_dependency,0.721,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00103,COMP-ISO14001,compliance_dependency,0.686,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00104,COMP-EPA,compliance_dependency,0.573,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00105,COMP-OSHA,compliance_dependency,0.704,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00106,COMP-ISO14001,compliance_dependency,0.81,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00107,COMP-DOL,compliance_dependency,0.809,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00108,COMP-SBA,compliance_dependency,0.584,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00109,COMP-EEOC,compliance_dependency,0.891,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00110,COMP-DOL,compliance_dependency,0.517,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00111,COMP-BAAQMD,compliance_dependency,0.639,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00112,COMP-SAM,compliance_dependency,0.886,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00113,COMP-CSLB,compliance_dependency,0.773,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00114,COMP-CSLB,compliance_dependency,0.673,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00115,COMP-EPA,compliance_dependency,0.63,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00116,COMP-OSHA,compliance_dependency,0.655,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00117,COMP-SBA,compliance_dependency,0.782,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00118,COMP-DOL,compliance_dependency,0.711,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00119,COMP-SBA,compliance_dependency,0.682,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00120,COMP-EPA,compliance_dependency,0.579,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00121,COMP-SBA,compliance_dependency,0.533,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00122,COMP-ISO14001,compliance_dependency,0.609,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00123,COMP-EEOC,compliance_dependency,0.559,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00124,COMP-ISO14001,compliance_dependency,0.813,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00125,COMP-SBA,compliance_dependency,0.635,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00126,COMP-BAAQMD,compliance_dependency,0.596,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00127,COMP-BAAQMD,compliance_dependency,0.674,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00128,COMP-EEOC,compliance_dependency,0.652,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00129,COMP-DOL,compliance_dependency,0.814,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00130,COMP-ISO14001,compliance_dependency,0.595,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00131,COMP-CSLB,compliance_dependency,0.849,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00132,COMP-EPA,compliance_dependency,0.509,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00133,COMP-CSLB,compliance_dependency,0.558,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00134,COMP-SBA,compliance_dependency,0.846,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00135,COMP-ISO9001,compliance_dependency,0.796,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00136,COMP-EEOC,compliance_dependency,0.569,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00137,COMP-ISO9001,compliance_dependency,0.887,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00138,COMP-ISO14001,compliance_dependency,0.694,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00139,COMP-EPA,compliance_dependency,0.801,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00140,COMP-OSHA,compliance_dependency,0.826,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00141,COMP-CSLB,compliance_dependency,0.845,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00142,COMP-EPA,compliance_dependency,0.834,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00143,COMP-ISO14001,compliance_dependency,0.9,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00144,COMP-BAAQMD,compliance_dependency,0.876,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00145,COMP-OSHA,compliance_dependency,0.554,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00146,COMP-DOL,compliance_dependency,0.634,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00147,COMP-OSHA,compliance_dependency,0.587,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00148,COMP-CSLB,compliance_dependency,0.653,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00149,COMP-SBA,compliance_dependency,0.673,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00150,COMP-ISO9001,compliance_dependency,0.791,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00151,COMP-EEOC,compliance_dependency,0.882,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00152,COMP-EPA,compliance_dependency,0.89,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00153,COMP-CSLB,compliance_dependency,0.645,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00154,COMP-BAAQMD,compliance_dependency,0.559,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00155,COMP-ISO14001,compliance_dependency,0.64,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00156,COMP-BAAQMD,compliance_dependency,0.635,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00157,COMP-ISO9001,compliance_dependency,0.53,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00158,COMP-DOL,compliance_dependency,0.819,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00159,COMP-ISO14001,compliance_dependency,0.756,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00160,COMP-SBA,compliance_dependency,0.802,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00161,COMP-ISO9001,compliance_dependency,0.645,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00162,COMP-BAAQMD,compliance_dependency,0.749,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00163,COMP-ISO14001,compliance_dependency,0.56,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00164,COMP-BAAQMD,compliance_dependency,0.558,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00165,COMP-BAAQMD,compliance_dependency,0.624,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00166,COMP-SAM,compliance_dependency,0.877,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00167,COMP-EPA,compliance_dependency,0.711,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00168,COMP-DOL,compliance_dependency,0.832,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00169,COMP-CSLB,compliance_dependency,0.551,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00170,COMP-EPA,compliance_dependency,0.726,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00171,COMP-OSHA,compliance_dependency,0.862,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00172,COMP-ISO14001,compliance_dependency,0.779,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00173,COMP-ISO14001,compliance_dependency,0.697,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00174,COMP-SAM,compliance_dependency,0.641,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00175,COMP-DOL,compliance_dependency,0.896,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00176,COMP-CSLB,compliance_dependency,0.553,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00177,COMP-CSLB,compliance_dependency,0.7,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00178,COMP-ISO14001,compliance_dependency,0.537,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00179,COMP-SAM,compliance_dependency,0.893,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00180,COMP-ISO9001,compliance_dependency,0.561,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00181,COMP-SAM,compliance_dependency,0.811,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00182,COMP-CSLB,compliance_dependency,0.529,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00183,COMP-OSHA,compliance_dependency,0.578,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00184,COMP-BAAQMD,compliance_dependency,0.853,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00185,COMP-EEOC,compliance_dependency,0.708,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00186,COMP-SAM,compliance_dependency,0.634,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00187,COMP-DOL,compliance_dependency,0.767,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00188,COMP-BAAQMD,compliance_dependency,0.762,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00189,COMP-EEOC,compliance_dependency,0.887,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00190,COMP-ISO14001,compliance_dependency,0.722,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00191,COMP-OSHA,compliance_dependency,0.847,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00192,COMP-EPA,compliance_dependency,0.593,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00193,COMP-EPA,compliance_dependency,0.829,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00194,COMP-DOL,compliance_dependency,0.66,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00195,COMP-SAM,compliance_dependency,0.795,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00196,COMP-SAM,compliance_dependency,0.564,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00197,COMP-DOL,compliance_dependency,0.847,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00198,COMP-DOL,compliance_dependency,0.542,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00199,COMP-OSHA,compliance_dependency,0.832,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00200,COMP-OSHA,compliance_dependency,0.578,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00201,COMP-EPA,compliance_dependency,0.697,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00202,COMP-SAM,compliance_dependency,0.61,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00203,COMP-SBA,compliance_dependency,0.874,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00204,COMP-SBA,compliance_dependency,0.771,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00205,COMP-ISO14001,compliance_dependency,0.819,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00206,COMP-SBA,compliance_dependency,0.612,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00207,COMP-OSHA,compliance_dependency,0.819,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00208,COMP-SBA,compliance_dependency,0.633,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00209,COMP-CSLB,compliance_dependency,0.575,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00210,COMP-OSHA,compliance_dependency,0.777,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00211,COMP-EPA,compliance_dependency,0.695,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00212,COMP-OSHA,compliance_dependency,0.551,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00213,COMP-OSHA,compliance_dependency,0.522,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00214,COMP-OSHA,compliance_dependency,0.772,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00215,COMP-EPA,compliance_dependency,0.656,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00216,COMP-SAM,compliance_dependency,0.66,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00217,COMP-BAAQMD,compliance_dependency,0.704,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00218,COMP-BAAQMD,compliance_dependency,0.77,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00219,COMP-SAM,compliance_dependency,0.892,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00220,COMP-OSHA,compliance_dependency,0.697,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00221,COMP-ISO14001,compliance_dependency,0.756,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00222,COMP-ISO14001,compliance_dependency,0.614,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00223,COMP-ISO14001,compliance_dependency,0.532,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00224,COMP-EEOC,compliance_dependency,0.594,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00225,COMP-SBA,compliance_dependency,0.804,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00226,COMP-SBA,compliance_dependency,0.702,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00227,COMP-DOL,compliance_dependency,0.756,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00228,COMP-SAM,compliance_dependency,0.522,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00229,COMP-ISO9001,compliance_dependency,0.568,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00230,COMP-CSLB,compliance_dependency,0.575,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00231,COMP-CSLB,compliance_dependency,0.576,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00232,COMP-SBA,compliance_dependency,0.646,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00233,COMP-SBA,compliance_dependency,0.811,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00234,COMP-ISO14001,compliance_dependency,0.73,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00235,COMP-EPA,compliance_dependency,0.654,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00236,COMP-SAM,compliance_dependency,0.782,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00237,COMP-CSLB,compliance_dependency,0.621,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00238,COMP-DOL,compliance_dependency,0.868,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00239,COMP-EEOC,compliance_dependency,0.694,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00240,COMP-DOL,compliance_dependency,0.827,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00241,COMP-CSLB,compliance_dependency,0.581,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00242,COMP-SAM,compliance_dependency,0.888,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00243,COMP-ISO9001,compliance_dependency,0.874,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00244,COMP-ISO9001,compliance_dependency,0.893,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00245,COMP-ISO9001,compliance_dependency,0.743,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00246,COMP-ISO9001,compliance_dependency,0.686,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00247,COMP-SBA,compliance_dependency,0.897,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00248,COMP-CSLB,compliance_dependency,0.834,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
ENT-00249,COMP-ISO9001,compliance_dependency,0.589,High,High,Compliance Consulting,,,MEDIUM — Compliance Consulting
